date,hail_reports,hail_occurred
2020-04-02,2,1
2020-04-11,70,1
2020-04-12,16,1
2020-04-19,9,1
2020-04-20,5,1
2020-04-21,47,1
2020-04-22,57,1
2020-04-24,31,1
2020-04-27,1,1
2020-04-28,103,1
2020-05-03,24,1
2020-05-04,182,1
2020-05-05,3,1
2020-05-07,48,1
2020-05-08,14,1
2020-05-11,8,1
2020-05-13,17,1
2020-05-14,19,1
2020-05-15,43,1
2020-05-19,2,1
2020-05-20,9,1
2020-05-21,44,1
2020-05-22,60,1
2020-05-23,34,1
2020-05-24,54,1
2020-05-26,1,1
2020-06-02,6,1
2020-06-03,22,1
2020-06-04,18,1
2020-06-05,4,1
2020-06-06,1,1
2020-06-08,12,1
2020-06-09,12,1
2020-06-11,1,1
2020-06-17,1,1
2020-06-18,10,1
2020-06-19,15,1
2020-06-20,33,1
2020-06-21,50,1
2020-06-22,29,1
2020-06-23,1,1
2020-06-24,29,1
2020-06-25,3,1
2020-06-26,22,1
2020-06-27,6,1
2020-06-28,2,1
2020-06-30,10,1
2020-07-01,9,1
2020-07-02,25,1
2020-07-03,4,1
2020-07-04,1,1
2020-07-05,1,1
2020-07-08,4,1
2020-07-09,5,1
2020-07-10,8,1
2020-07-11,77,1
2020-07-12,26,1
2020-07-13,10,1
2020-07-16,7,1
2020-07-19,5,1
2020-07-20,30,1
2020-07-21,1,1
2020-07-24,1,1
2020-07-29,5,1
2020-07-30,6,1
2020-08-01,1,1
2020-08-04,3,1
2020-08-05,4,1
2020-08-06,5,1
2020-08-08,7,1
2020-08-09,3,1
2020-08-10,17,1
2020-08-11,6,1
2020-08-12,4,1
2020-08-13,9,1
2020-08-14,34,1
2020-08-15,17,1
2020-08-16,75,1
2020-08-28,3,1
2020-08-29,12,1
2020-08-30,3,1
2020-08-31,29,1
2020-09-01,2,1
2020-09-07,3,1
2020-09-27,9,1
2021-04-06,31,1
2021-04-09,56,1
2021-04-12,1,1
2021-04-13,3,1
2021-04-14,2,1
2021-04-23,56,1
2021-04-27,19,1
2021-04-28,29,1
2021-05-02,12,1
2021-05-03,42,1
2021-05-04,2,1
2021-05-05,11,1
2021-05-07,4,1
2021-05-08,36,1
2021-05-09,6,1
2021-05-10,47,1
2021-05-11,2,1
2021-05-13,18,1
2021-05-14,31,1
2021-05-15,8,1
2021-05-16,31,1
2021-05-17,27,1
2021-05-18,4,1
2021-05-21,1,1
2021-05-23,17,1
2021-05-24,21,1
2021-05-25,17,1
2021-05-26,124,1
2021-05-27,27,1
2021-05-28,5,1
2021-05-29,13,1
2021-05-30,6,1
2021-06-01,1,1
2021-06-02,1,1
2021-06-06,1,1
2021-06-07,3,1
2021-06-11,18,1
2021-06-12,2,1
2021-06-14,2,1
2021-06-15,2,1
2021-06-17,2,1
2021-06-18,8,1
2021-06-20,5,1
2021-06-22,21,1
2021-06-24,22,1
2021-06-25,19,1
2021-06-26,4,1
2021-07-03,2,1
2021-07-04,13,1
2021-07-09,8,1
2021-07-10,7,1
2021-07-13,2,1
2021-07-15,1,1
2021-07-17,4,1
2021-07-18,18,1
2021-07-25,4,1
2021-07-30,2,1
2021-07-31,2,1
2021-08-01,1,1
2021-08-07,36,1
2021-08-08,1,1
2021-08-09,2,1
2021-08-10,22,1
2021-08-12,37,1
2021-08-13,2,1
2021-08-14,9,1
2021-08-15,14,1
2021-08-16,1,1
2021-08-19,7,1
2021-08-20,3,1
2021-08-21,8,1
2021-08-22,8,1
2021-08-24,1,1
2021-08-25,7,1
2021-08-26,3,1
2021-08-27,8,1
2021-08-28,2,1
2021-08-30,2,1
2021-09-03,3,1
2021-09-05,3,1
2021-09-07,3,1
2021-09-14,10,1
2021-09-16,3,1
2021-09-17,2,1
2021-09-20,9,1
2021-09-28,1,1
2021-09-29,5,1
